feature,importance
"Cuisines_Street Food, North Indian, Mithai, South Indian, Burger, Beverages",0.0
"Cuisines_Fast Food, North Indian, Biryani, Rolls, Wraps",0.0
"Cuisines_Pizza, Fast Food, Italian",0.0
"Cuisines_Arabian, North Indian, Mughlai, Chinese, Beverages, Desserts",0.0
Cuisines_Kerala,0.0
"Cuisines_South Indian, Fast Food, Mithai",0.0
"Cuisines_North Indian, Chinese, Beverages",0.0
"Cuisines_Fast Food, Street Food",0.0
"Cuisines_North Indian, Street Food, Chinese",0.0
"Cuisines_Fast Food, Desserts",0.0
"Cuisines_North Indian, Chinese, Arabian, Mughlai",0.0
"Cuisines_Desserts, Fast Food",0.0
"Cuisines_Asian, Chinese, Continental, Italian",0.0
"Cuisines_Fast Food, Pizza, Desserts",0.0
"Cuisines_North Indian, South Indian, Chinese, Street Food",0.0
"Cuisines_North Indian, Chinese, Mughlai, Maharashtrian",0.0
"Cuisines_Burger, Fast Food, Beverages",0.0
"Cuisines_Mithai, Gujarati",0.0
"Cuisines_Continental, North Indian, Thai",0.0
"Cuisines_Chinese, Seafood, Biryani",0.0
"Cuisines_North Indian, Chinese, Mughlai, Fast Food, Beverages",0.0
"Cuisines_North Indian, Chinese, Italian, Fast Food",0.0
"Cuisines_Fast Food, North Indian, Beverages",0.0
"Cuisines_North Indian, Chinese, Continental, Seafood",0.0
"Cuisines_Cafe, Chinese",0.0
"Cuisines_Bengali, Seafood, Rolls",0.0
"Cuisines_North Indian, Biryani, Kebab, BBQ",0.0
"Cuisines_Juices, Fast Food",0.0
"Cuisines_Bakery, Sandwich, Desserts",0.0
"Cuisines_Burger, Sandwich, Finger Food, Beverages",0.0
"Cuisines_Rolls, North Indian, Chinese, Momos, Biryani",0.0
Cuisines_Thai,0.0
"Cuisines_Bengali, Chinese",0.0
"Cuisines_Fast Food, Street Food, Juices",0.0
"Cuisines_North Indian, Chinese, South Indian, Fast Food, Street Food",0.0
"Cuisines_Biryani, Mughlai, Chinese, Arabian",0.0
"Cuisines_Chinese, North Indian, Fast Food, Biryani",0.0
"Cuisines_South Indian, North Indian, Chinese, Fast Food",0.0
"Cuisines_Fast Food, Rolls",0.0
"Cuisines_North Indian, Maharashtrian",0.0
"Cuisines_South Indian, Street Food",0.0
"Cuisines_North Indian, Chinese, Continental, Italian",0.0
"Cuisines_Chinese, North Indian, Rolls, Biryani, Momos",0.0
"Cuisines_Maharashtrian, Healthy Food",0.0
"Cuisines_Biryani, North Indian, Mughlai, Kebab",0.0
"Cuisines_Continental, North Indian, Italian, Beverages, Desserts",0.0
"Cuisines_South Indian, Italian, Chinese",0.0
"Cuisines_Mithai, Bakery, Fast Food",0.0
"Cuisines_Mithai, Fast Food",0.0
"Cuisines_North Indian, Fast Food, Chinese, Continental",0.0
"Cuisines_Chinese, North Indian, Momos",0.0
"Cuisines_Healthy Food, Beverages",0.0
"Cuisines_Desserts, Beverages, Ice Cream",0.0
Cuisines_American,0.0
"Cuisines_Fast Food, Chinese, BBQ",0.0
Cuisines_Mishti,0.0
"Cuisines_North Indian, Chinese, Mughlai, Kebab",0.0
"Cuisines_Raw Meats, North Indian, Fast Food",0.0
"Cuisines_North Indian, Continental, Chinese, Italian, Lebanese, Momos",0.0
"Cuisines_Salad, Rolls, Fast Food",0.0
"Cuisines_Mughlai, Biryani, Afghan",0.0
"Cuisines_Biryani, North Indian, Fast Food, Chinese",0.0
"Cuisines_Cafe, Italian, Chinese, Desserts",0.0
"Cuisines_Burger, Pizza, Fast Food",0.0
Cuisines_Gujarati,0.0
"Cuisines_Chinese, Seafood",0.0
"Cuisines_Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",0.0
"Cuisines_Italian, Mexican, Pizza, Salad, Beverages",0.0
"Cuisines_Street Food, Chinese, North Indian, Fast Food",0.0
"Cuisines_Rolls, Fast Food",0.0
"Cuisines_Salad, Sandwich, Momos, Wraps, Beverages",0.0
"Cuisines_North Indian, Fast Food, Beverages",0.0
"Cuisines_Seafood, North Indian, Chinese, Thai",0.0
"Cuisines_Biryani, Chinese, Fast Food, Beverages, North Indian, Mughlai, Seafood",0.0
"Cuisines_Fast Food, Biryani",0.0
"Cuisines_North Indian, Chinese, Pizza, Rolls, Bakery, Beverages, Mithai",0.0
"Cuisines_European, Italian, American, Salad",0.0
"Cuisines_Italian, Continental",0.0
"Cuisines_North Indian, Chinese, Goan",0.0
"Cuisines_Healthy Food, North Indian, Biryani, Continental, Beverages",0.0
"Cuisines_North Indian, Street Food, South Indian, Mithai",0.0
"Cuisines_Rajasthani, North Indian",0.0
"Cuisines_Pizza, Italian",0.0
"Cuisines_Mishti, Street Food, South Indian",0.0
"Cuisines_North Indian, Chinese, Rolls, Desserts, Biryani",0.0
"Cuisines_Fast Food, Chinese, North Indian",0.0
"Cuisines_Chinese, Rolls, Wraps",0.0
"Cuisines_Italian, Continental, Fast Food",0.0
"Cuisines_Pizza, Salad, Burger, Sandwich, Lebanese, Italian",0.0
"Cuisines_Continental, Finger Food, Seafood, Pizza",0.0
"Cuisines_Bengali, North Indian",0.0
"Cuisines_North Indian, Italian, Continental",0.0
"Cuisines_Andhra, North Indian, Chinese",0.0
"Cuisines_North Indian, Chinese, Rolls, Momos",0.0
"Cuisines_Chinese, Sushi, Thai, Poké, Asian",0.0
"Cuisines_Wraps, North Indian, Biryani, Fast Food",0.0
"Cuisines_North Indian, Chinese, South Indian",0.0
"Cuisines_Biryani, Mughlai, Kebab, Rolls, Roast Chicken",0.0
"Cuisines_Chinese, Mughlai, North Indian",0.0
"Cuisines_BBQ, Chinese, Lebanese",0.0
"Cuisines_North Indian, Italian, Continental, Lebanese, Desserts, Beverages",0.0
"Cuisines_Cafe, North Indian, Fast Food",0.0
"Cuisines_Fast Food, Bakery",0.0
"Cuisines_North Indian, Chinese, Mughlai, Fast Food",0.0
Cuisines_Momos,0.0
"Cuisines_Italian, Salad",0.0
"Cuisines_Momos, Chinese, Fast Food",0.0
"Cuisines_Bakery, Fast Food, Momos",0.0
"Cuisines_Rolls, North Indian, Biryani, Chinese",0.0
"Cuisines_Street Food, Mithai",0.0
"Cuisines_North Indian, Chinese, Bengali",0.0
"Cuisines_Healthy Food, North Indian, Beverages",0.0
"Cuisines_Biryani, North Indian, Fast Food",0.0
"Cuisines_Street Food, Fast Food, Beverages, Desserts, Mithai",0.0
"Cuisines_Desserts, Street Food",0.0
"Cuisines_Fast Food, Juices",0.0
"Cuisines_North Indian, Mughlai, Chinese, Fast Food, Momos",0.0
